currentTimeMillis,nanoTime,timestamp,x,y,z
1424634414444,258916515112313,258916504337000,-2.0566726,1.1032481,9.112013,
1424634414447,258916517662312,258916517352000,-1.7978859,0.95342433,9.220976,
1424634414460,258916531010646,258916530395000,-1.525479,0.95342433,9.220976,
1424634414474,258916545198979,258916543588000,-1.253072,1.0623871,9.343558,
1424634414490,258916561370646,258916556835000,-1.293933,0.9942854,9.152874,
1424634414506,258916576957312,258916569962000,-1.3756552,0.95342433,9.384419,
1424634414514,258916584697312,258916583117000,-1.4437568,1.2258313,9.384419,
1424634414526,258916596888979,258916596210000,-1.525479,1.253072,8.921328,
1424634414540,258916611170646,258916609533000,-1.4165162,1.1441092,9.261836,
1424634414559,258916630492313,258916622828000,-1.6753027,1.0215261,8.730643,
1424634414566,258916637285645,258916635957000,-2.0566726,1.0623871,8.880466,
1424634414579,258916649602312,258916649005000,-1.7978859,1.0623871,8.771504,
1424634414594,258916665387312,258916662137000,-1.484618,0.9942854,8.962189,
1424634414608,258916678660645,258916675437000,-1.56634,1.0623871,8.689782,
1424634414623,258916694577312,258916688630000,-0.95342433,0.95342433,8.648921,
1424634414641,258916711598979,258916702532000,-0.9942854,1.334794,9.112013,
1424634414645,258916716487312,258916715648000,-0.8036005,0.7627395,9.343558,
1424634414658,258916729462312,258916728858000,-0.95342433,0.7218784,9.071152,
1424634414673,258916744292312,258916742197000,-3.173541,3.7047346,8.267551,
1424634414690,258916760742313,258916755412000,-1.0623871,1.9068487,9.956474,
1424634414705,258916776210645,258916768515000,0.29964766,1.2258313,8.798744,
1424634414711,258916782272312,258916781647000,-0.61291564,0.7627395,8.921328,
1424634414724,258916795383979,258916794755000,-1.8659877,0.8308412,8.798744,
1424634414740,258916811137312,258916808100000,-1.7978859,1.0623871,9.152874,
1424634414756,258916826622312,258916821290000,-0.29964766,1.0215261,9.302697,
1424634414771,258916842238979,258916834413000,0.38136974,1.1849703,9.575105,
1424634414777,258916848117312,258916847488000,-0.3405087,1.1032481,8.962189,
1424634414790,258916861265646,258916860607000,-0.8308412,0.9942854,8.880466,
1424634414805,258916876113979,258916873870000,-0.4903325,0.9942854,9.302697,
1424634414821,258916892215646,258916887035000,-0.4903325,0.95342433,9.152874,
1424634414838,258916909097312,258916900667000,-0.7627395,1.1849703,8.921328,
1424634414843,258916914568979,258916913737000,-1.0215261,1.1441092,9.193735,
1424634414856,258916927512312,258916926842000,-1.0215261,1.1032481,9.220976,
1424634414871,258916942317312,258916940183000,-1.0623871,1.0215261,9.452521,
1424634414887,258916958558979,258916953303000,-1.3756552,0.9942854,9.030291,
1424634414903,258916974292312,258916966380000,-1.4165162,0.8308412,8.962189,
1424634414909,258916980447313,258916979448000,-1.4437568,0.8308412,8.921328,
1424634414922,258916993437312,258916992810000,-1.484618,0.95342433,9.071152,
1424634414940,258917011433979,258917006027000,-1.525479,0.95342433,9.112013,
1424634414955,258917026390645,258917019162000,-1.4437568,0.9125633,8.921328,
1424634414962,258917032982312,258917032295000,-1.3756552,0.8036005,8.921328,
1424634414975,258917045995645,258917045372000,-1.2258313,0.6810174,8.798744,
1424634414989,258917059982312,258917058675000,-1.1032481,0.53119355,8.458236,
1424634415005,258917075812312,258917071988000,-1.1441092,0.40861043,8.962189,
1424634415020,258917091322312,258917085142000,-1.0623871,0.40861043,8.689782,
1424634415028,258917098878979,258917098213000,-1.0215261,0.44947147,8.60806,
1424634415041,258917112330646,258917111675000,-0.9942854,0.3405087,8.798744,
1424634415054,258917125540645,258917124908000,-0.95342433,0.3405087,8.539958,
1424634415071,258917142063979,258917138240000,-0.7627395,0.29964766,8.22669,
1424634415087,258917158328979,258917151502000,-0.8036005,0.29964766,8.349273,
1424634415095,258917166015645,258917164552000,-0.7218784,0.40861043,8.60806,
