currentTimeMillis,nanoTime,timestamp,x,y,z
1424100240926,93994439160697,93994427009000,1.4165162,5.9248514,8.3765135,
1424100240938,93994450499031,93994440137000,0.027240695,5.706926,8.417375,
1424100240950,93994463090697,93994453342000,-1.1441092,4.780742,8.60806,
1424100240954,93994467222363,93994466612000,-1.7161638,4.440233,7.8861814,
1424100240974,93994486640697,93994479817000,0.14982383,4.2086873,7.1915436,
1424100240981,93994494115697,93994492909000,1.3756552,5.284695,7.082581,
1424100240994,93994506617363,93994506020000,2.4108016,6.619489,6.891896,
1424100241010,93994522845697,93994519129000,1.8659877,6.537767,7.3822284,
1424100241024,93994536615697,93994532720000,0.4903325,6.0474343,8.22669,
1424100241041,93994553572364,93994545909000,-0.19068487,5.3119354,8.648921,
1424100241057,93994569645697,93994559399000,-0.87170225,4.5900574,7.9270425,
1424100241061,93994573369030,93994572750000,0.14982383,3.9771416,7.504812,
1424100241076,93994589302363,93994586014000,1.484618,4.3176503,7.4639506,
1424100241090,93994603194030,93994599189000,2.6014864,5.3936577,7.3141265,
1424100241108,93994620449031,93994612374000,2.0975335,5.6252036,8.036005,
1424100241114,93994626355697,93994625447000,0.6401563,5.3527966,8.349273,
1424100241127,93994640155697,93994638704000,0.10896278,4.739881,8.117727,
1424100241140,93994652444030,93994651887000,-0.0,4.1269655,8.076866,
1424100241153,93994665619030,93994665017000,0.95342433,4.780742,7.5456724,
1424100241171,93994683425697,93994678189000,1.607201,5.1621118,7.4230895,
1424100241180,93994692927364,93994691464000,1.334794,4.5900574,7.572913,
1424100241193,93994705424030,93994704784000,1.0623871,4.903325,8.076866,
1424100241207,93994719824030,93994718100000,1.293933,5.5162406,7.6954966,
1424100241223,93994735875697,93994731582000,1.1032481,5.3936577,8.349273,
1424100241238,93994750969030,93994744744000,1.0215261,5.7341666,8.076866,
1424100241254,93994767010697,93994757940000,0.25878662,4.69902,7.3822284,
1424100241259,93994771805697,93994771170000,0.027240695,4.0180025,7.8861814,
1424100241274,93994786690697,93994784444000,1.0623871,4.930566,7.7363577,
1424100241290,93994802620697,93994797677000,2.0975335,5.243834,7.4639506,
1424100241304,93994817307363,93994810884000,1.253072,5.7341666,8.22669,
1424100241321,93994833829030,93994824047000,1.0215261,5.7341666,8.158588,
1424100241325,93994837930697,93994837272000,0.06810174,4.69902,8.036005,
1424100241338,93994851324030,93994850657000,-0.0,4.4810944,7.804459,
1424100241355,93994867540697,93994863842000,1.253072,4.630918,7.763598,
1424100241370,93994883074030,93994877032000,1.8387469,5.09401,7.2324047,
1424100241380,93994892384030,93994890285000,1.3756552,5.1212506,7.6137743,
1424100241391,93994904035697,93994903420000,1.1032481,5.1621118,7.995144,
1424100241404,93994917337363,93994916749000,0.4903325,5.1621118,7.995144,
1424100241421,93994933824030,93994930134000,0.8308412,4.930566,7.995144,
1424100241437,93994949387363,93994943362000,0.95342433,4.930566,7.6546354,
1424100241446,93994958612363,93994956500000,0.8036005,4.739881,7.273266,
1424100241458,93994970395697,93994969627000,0.9125633,4.671779,8.036005,
1424100241472,93994985044030,93994983109000,1.4165162,5.202973,7.8861814,
1424100241487,93994999814030,93994996397000,1.4165162,5.243834,7.9679036,
1424100241502,93995015345697,93995009620000,0.61291564,4.862464,7.6137743,
1424100241519,93995031867364,93995022845000,0.25878662,4.69902,8.308413,
1424100241524,93995036580697,93995035974000,0.5720546,4.8216033,7.572913,
1424100241537,93995049857363,93995049309000,1.253072,5.202973,7.6137743,
1424100241552,93995064740697,93995062624000,1.8387469,5.3527966,8.076866,
1424100241569,93995081920697,93995075790000,1.1441092,5.284695,7.763598,
1424100241584,93995096584030,93995088969000,0.61291564,5.053149,7.1915436,
1424100241590,93995102739030,93995102120000,0.8308412,5.09401,7.572913,
1424100241603,93995116022363,93995115389000,1.0215261,5.6252036,7.6954966,
1424100241619,93995131702364,93995128687000,1.2258313,5.47538,7.2324047,
1424100241636,93995149094030,93995142625000,1.1849703,5.243834,6.932757,
1424100241651,93995163702364,93995155765000,1.253072,5.1621118,6.3198414,
1424100241657,93995169497363,93995168840000,1.525479,5.5162406,5.6660647,
1424100241670,93995182867364,93995182214000,1.8659877,5.6660647,5.1212506,
1424100241684,93995197144030,93995195497000,2.0294318,5.8976107,4.399372,
1424100241701,93995213917364,93995208699000,2.0294318,6.0474343,3.7864566,
1424100241716,93995228839030,93995222047000,1.6753027,5.8158884,3.445948,
1424100241723,93995235749030,93995235122000,0.95342433,5.5434813,3.4731886,
1424100241736,93995248884030,93995248264000,0.87170225,5.7341666,3.405087,
1424100241751,93995264205697,93995261529000,0.44947147,5.9248514,3.255263,
1424100241767,93995279494030,93995274754000,0.40861043,5.8158884,3.5549107,
1424100241784,93995297215697,93995287854000,-0.38136974,5.434519,3.5549107,
1424100241789,93995301739030,93995301114000,-0.87170225,5.202973,4.399372,
1424100241802,93995315030697,93995314372000,-1.1849703,5.202973,4.780742,
1424100241818,93995331230697,93995327589000,-1.1032481,5.202973,5.8567495,
1424100241833,93995345445697,93995340779000,-0.9125633,5.053149,6.742072,
1424100241850,93995362624030,93995353880000,-0.40861043,4.862464,7.572913,
1424100241855,93995368104030,93995366985000,-0.027240695,4.671779,7.8861814,
1424100241869,93995382244030,93995380427000,0.06810174,4.4810944,8.22669,
1424100241883,93995395734030,93995393700000,-0.027240695,4.903325,8.839605,
1424100241899,93995412192364,93995406904000,-0.3405087,4.971427,8.689782,
1424100241915,93995427795697,93995420080000,-0.3405087,5.47538,9.384419,
1424100241921,93995434259030,93995433557000,-0.06810174,5.8158884,9.193735,
1424100241935,93995447475697,93995446850000,0.3405087,5.706926,9.302697,
1424100241948,93995461322364,93995460270000,0.21792556,5.7341666,9.41166,
1424100241967,93995479740697,93995473495000,0.38136974,5.3119354,9.152874,
1424100241981,93995494282364,93995486634000,-0.027240695,4.8216033,8.771504,
1424100241988,93995500457364,93995499720000,-0.0,4.2904096,8.839605,
1424100242001,93995513522364,93995512870000,-0.4903325,4.3176503,9.80665,
1424100242016,93995528529030,93995526114000,-0.61291564,4.3585114,9.302697,
1424100242032,93995544954030,93995539305000,-0.29964766,4.399372,9.874752,
1424100242049,93995561947364,93995552440000,-0.9942854,5.053149,11.904184,
1424100242054,93995567265697,93995565669000,-2.0975335,5.6660647,13.361561,
1424100242067,93995579434030,93995578834000,-2.0294318,5.6252036,12.476238,
1424100242083,93995595679030,93995592079000,-0.6810174,4.5900574,8.689782,
1424100242099,93995611485697,93995605320000,-1.9068487,5.3936577,10.065437,
1424100242115,93995627377363,93995618504000,-1.56634,5.1212506,10.147159,
1424100242120,93995632922364,93995631724000,-0.21792556,3.8681788,9.152874,
1424100242133,93995645547363,93995644924000,0.40861043,3.7864566,7.6137743,
1424100242149,93995661914030,93995658232000,0.14982383,4.4810944,6.851035,
1424100242164,93995676895697,93995671545000,-0.29964766,4.671779,7.6954966,
1424100242180,93995692767364,93995684665000,-1.0215261,4.399372,12.408136,
1424100242186,93995698394030,93995697759000,2.0975335,3.7455957,10.909899,
1424100242199,93995711640697,93995710999000,-0.8036005,4.4810944,9.643207,
1424100242214,93995726707363,93995724292000,-1.334794,3.636633,9.915613,
1424100242229,93995742257364,93995737535000,-3.255263,3.445948,10.446807,
1424100242247,93995759474030,93995752067000,0.38136974,4.903325,10.528529,
1424100242253,93995765865697,93995765177000,1.2258313,5.1621118,11.223166,
1424100242266,93995778912363,93995778260000,-0.21792556,4.3176503,10.18802,
1424100242279,93995792165697,93995791569000,-0.8036005,3.8273177,9.997335,
1424100242295,93995807852363,93995804874000,-0.8036005,3.3642259,9.030291,
1424100242311,93995823442364,93995818065000,-0.4903325,3.173541,8.3765135,
1424100242321,93995833974030,93995831685000,-1.253072,2.8330324,8.036005,
1424100242332,93995845342364,93995844727000,-1.0623871,2.901134,8.117727,
1424100242346,93995858594030,93995857995000,-1.1441092,2.982856,7.84532,
1424100242360,93995873245697,93995871335000,-1.1032481,-2.0294318,8.730643,
1424100242378,93995891109030,93995884492000,-3.13268,3.5957718,6.701211,
1424100242387,93995899827363,93995897635000,-1.6344417,4.3176503,10.256122,
1424100242399,93995911372364,93995910724000,-1.4165162,2.9419951,8.267551,
1424100242412,93995924505697,93995923917000,-1.8387469,2.4516625,8.22669,
1424100242426,93995939179030,93995937260000,-1.8659877,2.7104492,8.036005,
1424100242444,93995957165697,93995950420000,-0.8036005,2.4789033,7.3549876,
1424100242453,93995965962363,93995963515000,-0.7627395,2.4789033,7.1506824,
1424100242464,93995977205697,93995976560000,-1.1441092,2.4516625,7.2324047,
1424100242478,93995990455697,93995989694000,-1.3756552,2.7104492,7.763598,
1424100242493,93996006199030,93996002999000,-1.525479,2.8330324,7.7363577,
1424100242509,93996021669030,93996016177000,-1.9885708,3.091819,8.308413,
1424100242519,93996032125697,93996029302000,-2.2473574,3.445948,9.152874,
1424100242530,93996043037364,93996042394000,-3.3233647,4.1269655,10.2152605,
1424100242545,93996057704030,93996055642000,-3.255263,3.8273177,10.446807,
1424100242560,93996072752364,93996068950000,-2.2201166,2.7513103,9.765789,
1424100242577,93996089487363,93996082160000,-1.7978859,2.2882185,8.730643,
1424100242583,93996096117363,93996095270000,-1.7161638,2.0294318,8.962189,
1424100242596,93996108992363,93996108354000,-1.56634,2.2201166,9.071152,
1424100242609,93996122237364,93996121637000,-1.7161638,2.4108016,9.956474,
1424100242626,93996138647363,93996134937000,-1.8387469,2.6423476,10.446807,
1424100242643,93996156165697,93996148114000,-1.56634,2.4789033,10.106298,
1424100242649,93996162244030,93996161274000,-1.293933,2.7104492,9.452521,
1424100242662,93996174982364,93996174334000,-1.334794,3.173541,9.112013,
1424100242676,93996188522363,93996187629000,-2.1383946,3.214402,9.220976,
1424100242692,93996204739030,93996200912000,-2.2882185,3.173541,8.798744,
1424100242708,93996221192364,93996214064000,-2.5606253,3.255263,8.880466,
1424100242715,93996228217363,93996227157000,-2.4516625,3.3233647,8.921328,
1424100242728,93996240989030,93996240347000,-1.1849703,2.8602731,8.539958,
1424100242743,93996255927363,93996253602000,-0.8036005,2.8602731,7.84532,
1424100242758,93996271097364,93996266882000,-1.0215261,2.901134,7.9679036,
1424100242774,93996286880697,93996280117000,-1.253072,2.5606253,7.9679036,
1424100242781,93996293817364,93996293174000,-1.4165162,2.3699405,7.9270425,
1424100242794,93996306882363,93996306292000,-1.0623871,2.5606253,8.349273,
1424100242808,93996320359031,93996319612000,-0.7627395,3.0237172,8.036005,
1424100242825,93996338155697,93996333065000,-0.4903325,3.3233647,8.417375,
1424100242842,93996354812364,93996348719000,-0.61291564,3.5957718,9.534244,
1424100242856,93996369212363,93996361900000,-0.8308412,3.5957718,8.989429,
1424100242863,93996375635697,93996374979000,-1.0215261,3.3233647,8.60806,
1424100242876,93996388999030,93996388214000,-1.1849703,3.13268,8.730643,
1424100242891,93996404219030,93996401517000,-1.334794,3.3233647,8.798744,
1424100242906,93996419084030,93996414692000,-1.334794,3.5549107,9.302697,
1424100242923,93996436045697,93996427797000,-1.3756552,3.636633,8.730643,
1424100242929,93996441825697,93996441154000,-1.4165162,3.8273177,9.071152,
1424100242942,93996454890697,93996454259000,-1.253072,3.8273177,9.112013,
1424100242955,93996468204030,93996467625000,-0.9125633,3.5957718,8.962189,
1424100242972,93996485329030,93996481205000,-0.6401563,3.4731886,9.343558,
1424100242987,93996500294031,93996494330000,-0.5720546,3.445948,8.839605,
1424100242995,93996508024030,93996507387000,-0.5720546,3.636633,8.22669,
1424100243008,93996521235697,93996520574000,-0.6401563,3.7047346,8.499097,
1424100243023,93996535894030,93996533920000,-1.0623871,3.6774938,8.880466,
1424100243039,93996551740697,93996547177000,-1.9885708,3.4731886,9.343558,
1424100243054,93996566897363,93996560972000,-3.173541,2.5606253,9.384419,
1424100243062,93996574682364,93996574029000,-2.669588,2.0294318,8.580819,
1424100243075,93996587762363,93996587095000,-1.9068487,2.1383946,8.580819,
1424100243089,93996601425697,93996600389000,-1.7161638,2.1383946,9.220976,
1424100243105,93996617517363,93996613645000,-1.9068487,1.9477097,8.921328,
1424100243122,93996634899030,93996626790000,-2.0294318,2.901134,8.921328,
1424100243128,93996641115697,93996639899000,-1.7161638,3.091819,9.112013,
1424100243141,93996653974030,93996653125000,-2.0294318,3.2825038,8.962189,
1424100243154,93996667344030,93996666437000,-1.8387469,3.445948,8.648921,
1424100243171,93996683725697,93996679730000,-1.1441092,3.4731886,8.117727,
1424100243186,93996698680697,93996692890000,-0.8308412,3.445948,8.689782,
1424100243194,93996706580697,93996705949000,-0.8036005,3.5140498,8.458236,
1424100243207,93996719670697,93996719025000,-1.1441092,3.6774938,8.308413,
1424100243221,93996734104030,93996732622000,-1.293933,4.0180025,8.539958,
1424100243238,93996750410697,93996745914000,-1.1032481,4.1269655,8.689782,
1424100243253,93996765842363,93996759070000,-1.293933,4.1269655,7.9679036,
1424100243260,93996772914030,93996772270000,-1.253072,4.0861044,6.701211,
1424100243273,93996785994030,93996785397000,-0.9125633,4.1269655,7.2324047,
1424100243288,93996800520697,93996798780000,-0.6401563,4.3585114,7.504812,
1424100243305,93996817740697,93996812052000,-0.40861043,4.5900574,8.648921,
1424100243319,93996832199030,93996825259000,-0.8308412,4.440233,8.962189,
1424100243326,93996838992363,93996838330000,-0.87170225,3.7864566,9.643207,
1424100243339,93996852039030,93996851432000,-1.1441092,3.7047346,10.18802,
1424100243352,93996865342363,93996864740000,-1.1849703,2.9419951,10.2152605,
1424100243370,93996882740697,93996878007000,-1.2258313,2.6423476,9.384419,
1424100243384,93996897017363,93996891099000,-0.6401563,1.8387469,8.689782,
1424100243392,93996904802364,93996904120000,-0.7627395,1.0623871,9.030291,
1424100243405,93996918010697,93996917205000,-0.9942854,0.7627395,8.798744,
1424100243419,93996931914030,93996931044000,-1.1441092,0.8036005,9.071152,
1424100243437,93996949455697,93996945044000,-1.1032481,0.7627395,9.030291,
1424100243451,93996964044030,93996958187000,-0.87170225,0.6401563,8.267551,
1424100243461,93996974042364,93996971314000,-0.87170225,1.1032481,8.185829,
1424100243472,93996984975697,93996984377000,-1.1441092,1.9068487,8.539958,
1424100243486,93996998364030,93996997714000,-0.9942854,2.2201166,9.112013,
1424100243502,93997014525697,93997011087000,-1.334794,2.9419951,9.956474,
1424100243517,93997029460697,93997024257000,-1.4437568,3.13268,8.648921,
1424100243526,93997038600697,93997037379000,-1.0215261,2.669588,7.9679036,
1424100243539,93997051382364,93997050734000,-0.87170225,2.2882185,7.6546354,
1424100243552,93997064454030,93997063839000,-0.6401563,2.3699405,7.6954966,
1424100243567,93997079677363,93997077157000,-1.2258313,2.9419951,8.499097,
1424100243584,93997096632363,93997090360000,-1.9068487,3.13268,9.030291,
1424100243592,93997104462364,93997103492000,-2.0975335,2.5606253,8.798744,
1424100243605,93997117435697,93997116620000,-1.9885708,2.2201166,8.417375,
1424100243618,93997131327364,93997129900000,-1.8387469,2.1792557,8.158588,
1424100243634,93997147239030,93997143254000,-1.56634,2.2882185,8.458236,
1424100243650,93997162824030,93997156397000,-1.334794,2.6423476,9.112013,
1424100243658,93997170487364,93997169550000,-1.56634,3.0645783,9.997335,
1424100243671,93997183955697,93997183304000,-2.0566726,2.982856,9.956474,
1424100243684,93997197077363,93997196434000,-1.9068487,2.6014864,9.575105,
1424100243701,93997213470697,93997209719000,-1.6344417,2.4108016,8.580819,
1424100243715,93997228044030,93997222904000,-1.6344417,2.1383946,7.9679036,
1424100243726,93997238392363,93997236020000,-1.6753027,2.2882185,8.798744,
1424100243737,93997249717363,93997249102000,-2.3290794,3.173541,9.724928,
1424100243750,93997263090697,93997262467000,-2.4516625,3.5549107,9.765789,
1424100243765,93997278324030,93997275774000,-1.8659877,3.4731886,9.452521,
1424100243782,93997294360697,93997288959000,-1.1032481,2.8330324,8.499097,
1424100243792,93997304392364,93997302117000,-1.1032481,2.6423476,7.995144,
1424100243803,93997315742363,93997315154000,-1.0623871,2.2882185,7.9679036,
1424100243816,93997328974030,93997328385000,-0.9125633,2.3699405,8.458236,
1424100243832,93997344367364,93997341702000,-1.2258313,2.901134,10.18802,
1424100243848,93997361164030,93997354869000,-1.525479,3.445948,10.869038,
1424100243856,93997368934030,93997368005000,-1.9068487,3.6774938,10.147159,
1424100243869,93997382117364,93997381425000,-1.525479,3.173541,8.60806,
1424100243883,93997395382363,93997394730000,-0.38136974,2.0975335,8.499097,
1424100243910,93997422415697,93997408069000,-0.7627395,2.3699405,8.60806,
1424100243911,93997423857364,93997421220000,-0.44947147,2.5197644,8.3765135,
1424100243922,93997434767364,93997434220000,-0.40861043,2.5197644,8.349273,
1424100243935,93997447899030,93997447329000,-0.9942854,2.901134,8.880466,
1424100243948,93997461320697,93997460625000,-1.7978859,3.5957718,8.989429,
1424100243966,93997478442363,93997473925000,-1.7570249,3.3642259,8.689782,
1424100243980,93997493309030,93997487202000,-1.2258313,2.4516625,8.458236,
1424100243990,93997502495697,93997500420000,-1.1441092,2.4789033,9.602345,
1424100244002,93997514422364,93997513622000,-1.1441092,3.255263,9.41166,
1424100244015,93997527609030,93997526962000,-0.6401563,2.7921712,8.60806,
1424100244031,93997543449030,93997540227000,-1.1032481,2.5197644,8.798744,
1424100244045,93997558137363,93997553400000,-2.2473574,3.13268,9.384419,
1424100244055,93997568302363,93997566492000,-2.0975335,2.8330324,8.349273,
1424100244068,93997581217364,93997579552000,-1.293933,2.2473574,8.771504,
1424100244080,93997593192364,93997592732000,-1.2258313,2.5606253,9.112013,
1424100244094,93997606464030,93997605920000,-1.1441092,3.3642259,9.343558,
1424100244113,93997626129030,93997619079000,-0.87170225,3.405087,9.193735,
1424100244121,93997633529030,93997632890000,-1.484618,3.5140498,9.261836,
1424100244134,93997646742363,93997646060000,-1.8659877,3.2825038,9.071152,
1424100244150,93997663150697,93997659220000,-1.334794,3.214402,8.798744,
1424100244164,93997676902363,93997672542000,-0.95342433,2.982856,8.499097,
1424100244181,93997693485697,93997685827000,-0.95342433,2.7513103,8.417375,
1424100244189,93997702310697,93997699047000,-1.2258313,2.982856,8.458236,
1424100244200,93997713339030,93997712675000,-1.1849703,3.13268,9.193735,
1424100244214,93997726549030,93997725875000,-1.4437568,3.3233647,9.112013,
1424100244228,93997741202364,93997739252000,-1.253072,3.091819,8.989429,
1424100244245,93997757907363,93997752425000,-1.334794,3.0645783,8.458236,
1424100244254,93997767307363,93997765562000,-1.607201,3.405087,8.3765135,
1424100244267,93997779475696,93997778637000,-1.8387469,3.5549107,8.308413,
1424100244280,93997792524030,93997791889000,-1.525479,3.5140498,8.158588,
1424100244294,93997807025697,93997805217000,-1.6344417,3.7047346,8.349273,
1424100244311,93997823990697,93997818370000,-1.8387469,3.7047346,7.9679036,
1424100244321,93997833760697,93997832209000,-1.7570249,3.5549107,8.22669,
1424100244333,93997845925697,93997845237000,-1.6344417,3.8954194,8.3765135,
1424100244346,93997858967363,93997858312000,-1.525479,3.7455957,8.3765135,
1424100244360,93997873084030,93997871652000,-1.4165162,3.4731886,8.308413,
1424100244377,93997889755696,93997884805000,-1.484618,3.5957718,8.349273,
1424100244387,93997899655696,93997897932000,-1.7161638,3.5957718,8.689782,
1424100244399,93997911707364,93997911037000,-1.8659877,3.0237172,8.3765135,
1424100244412,93997924909030,93997924280000,-1.9477097,2.8602731,8.076866,
1424100244429,93997941945697,93997937442000,-1.8659877,3.13268,8.458236,
1424100244443,93997955659030,93997950725000,-1.8387469,3.2825038,8.580819,
1424100244452,93997965292363,93997963847000,-1.7161638,3.3233647,8.648921,
1424100244465,93997977805697,93997976922000,-1.7161638,3.6774938,8.458236,
1424100244478,93997990830697,93997990182000,-1.525479,3.405087,8.771504,
1424100244492,93998004932363,93998003465000,-1.484618,3.255263,8.349273,
