currentTimeMillis,nanoTime,timestamp,x,y,z
1423912727082,64597004791155,64596977127000,0.027240695,5.3936577,8.158588,
1423912727086,64597008661155,64596990194000,-0.25878662,4.630918,8.267551,
1423912727090,64597012571155,64597003324000,-0.10896278,4.3585114,8.117727,
1423912727100,64597022987822,64597016534000,-1.7161638,4.440233,7.1915436,
1423912727114,64597037166155,64597029746000,-0.06810174,3.6774938,7.763598,
1423912727139,64597062091155,64597043674000,-0.21792556,3.9771416,7.000859,
1423912727141,64597064137822,64597057262000,0.44947147,3.8681788,6.0474343,
1423912727149,64597072022822,64597070802000,0.7627395,4.399372,6.197258,
1423912727161,64597084499488,64597083897000,1.0623871,4.739881,6.197258,
1423912727178,64597101477822,64597097117000,1.293933,5.09401,6.537767,
1423912727196,64597119467822,64597110289000,1.0215261,5.5434813,6.537767,
1423912727223,64597145769488,64597124426000,0.40861043,6.0882955,7.8861814,
1423912727224,64597147196155,64597138157000,0.44947147,6.578628,8.22669,
1423912727229,64597151607822,64597151236000,-0.38136974,7.000859,8.730643,
1423912727244,64597166957822,64597164442000,-0.6810174,6.428804,8.880466,
1423912727262,64597184782822,64597178026000,-0.40861043,5.7750273,8.689782,
1423912727269,64597192492822,64597191164000,-0.38136974,5.202973,8.349273,
1423912727282,64597205216155,64597204249000,0.4903325,5.1621118,7.995144,
1423912727296,64597218919488,64597217551000,1.0215261,5.1212506,7.8861814,
1423912727314,64597237172822,64597230732000,0.95342433,5.3119354,7.6137743,
1423912727327,64597250374488,64597243976000,0.6401563,5.5434813,8.158588,
1423912727337,64597259686155,64597257107000,0.61291564,5.5162406,8.60806,
1423912727349,64597271817822,64597270876000,0.7627395,5.7750273,8.417375,
1423912727363,64597285882822,64597284099000,0.38136974,5.5162406,8.499097,
1423912727378,64597300821155,64597297347000,0.3405087,5.3119354,8.60806,
1423912727396,64597318551155,64597310616000,0.5720546,5.243834,7.9270425,
1423912727411,64597333877822,64597323961000,0.38136974,4.862464,7.4230895,
1423912727415,64597337969488,64597337171000,0.10896278,4.69902,7.273266,
1423912727428,64597351097822,64597350427000,0.10896278,4.671779,7.082581,
1423912727445,64597368361155,64597363677000,0.027240695,4.4810944,6.9599977,
1423912727461,64597384476155,64597376932000,-0.0,4.4810944,6.769313,
1423912727478,64597400829488,64597390194000,0.3405087,4.508335,6.347082,
1423912727481,64597404032822,64597403419000,0.3405087,4.780742,6.428804,
1423912727495,64597417864488,64597416711000,0.10896278,4.780742,6.0882955,
1423912727512,64597435456155,64597429911000,0.40861043,5.284695,6.510526,
1423912727528,64597451441155,64597443149000,0.6401563,5.5843425,6.428804,
1423912727534,64597457117822,64597456219000,0.6810174,5.8567495,6.537767,
1423912727548,64597471086155,64597469499000,0.7218784,6.1563973,6.9599977,
1423912727560,64597483202822,64597482626000,0.61291564,6.2789803,7.1915436,
1423912727573,64597496462822,64597495747000,0.7627395,6.2789803,7.3141265,
1423912727591,64597513761155,64597508957000,0.7627395,6.238119,7.04172,
1423912727606,64597529444488,64597522352000,0.8036005,6.2789803,7.000859,
1423912727614,64597536669488,64597535369000,0.6810174,6.3879433,7.082581,
1423912727627,64597549809488,64597548709000,0.19068487,6.510526,7.504812,
1423912727642,64597565277822,64597562386000,-0.38136974,6.347082,7.6546354,
1423912727658,64597581051155,64597575606000,-0.7627395,6.1291566,8.308413,
1423912727673,64597596166155,64597588729000,-0.9125633,6.1291566,8.22669,
1423912727680,64597602922822,64597601957000,-0.8036005,5.9248514,8.117727,
1423912727693,64597615716155,64597615019000,-0.7218784,6.006573,7.5456724,
1423912727708,64597630561155,64597628271000,-0.14982383,6.537767,7.6954966,
1423912727727,64597650482822,64597641487000,-0.027240695,6.537767,7.4230895,
1423912727739,64597661726155,64597654614000,-0.38136974,6.2789803,7.6546354,
1423912727745,64597668307822,64597667684000,-0.14982383,6.0882955,7.8861814,
1423912727758,64597681499488,64597680824000,-0.19068487,5.8158884,7.6954966,
1423912727773,64597696124488,64597694074000,-0.10896278,5.7750273,7.3141265,
1423912727790,64597713491155,64597707264000,0.06810174,5.8158884,7.6546354,
1423912727806,64597729442822,64597720397000,0.21792556,5.7341666,7.6546354,
1423912727811,64597734211155,64597733517000,0.21792556,5.8567495,7.4230895,
1423912727825,64597747712822,64597746786000,0.25878662,5.7341666,7.6954966,
1423912727841,64597764481155,64597760147000,0.10896278,5.5434813,7.4639506,
1423912727858,64597780536155,64597773636000,0.21792556,5.47538,7.6137743,
1423912727872,64597794806155,64597786756000,0.21792556,5.9248514,7.3549876,
1423912727878,64597800712822,64597799849000,0.21792556,6.1563973,7.6137743,
1423912727891,64597813636155,64597812974000,0.14982383,6.1563973,7.6546354,
1423912727907,64597829832822,64597826221000,0.10896278,6.0474343,7.504812,
1423912727921,64597844369488,64597839421000,-0.38136974,6.238119,7.6954966,
